Model ID | Has SFconvert PRs | Has Merged PRs | Has Open PRs | Discussions Disabled | Not Found
----------------------------------------------------------------------------------------------------
facebook/galactica-1.3b | True | False | True | False | False
tohoku-nlp/bert-base-japanese-v2 | True | False | True | False | False
somosnlp-hackathon-2022/paraphrase-spanish-distilroberta | True | False | True | False | False
emilyalsentzer/Bio_Discharge_Summary_BERT | True | False | True | False | False
codesage/codesage-large | True | False | True | False | False
chambliss/distilbert-for-food-extraction | True | False | True | False | False
mosaicml/mpt-30b | True | False | True | False | False
OpenMatch/cocodr-base-msmarco | True | False | True | False | False
cross-encoder/stsb-roberta-large | True | True | False | False | False
Helsinki-NLP/opus-mt-zh-en | True | False | True | False | False
trituenhantaoio/bert-base-vietnamese-uncased | True | True | False | False | False
google/t5-large-lm-adapt | True | False | True | False | False
Helsinki-NLP/opus-mt-ca-en | True | False | True | False | False
eugenesiow/carn | False | False | False | False | False
sshleifer/tiny-ctrl | True | False | True | False | False
ragavsachdeva/magi | True | False | True | False | False
princeton-nlp/Sheared-LLaMA-1.3B | True | False | True | False | False
facebook/xglm-564M | True | False | True | False | False
ALINEAR/albert-japanese-v2 | True | False | True | False | False
Helsinki-NLP/opus-mt-fi-de | True | False | True | False | False
togethercomputer/Llama-2-7B-32K-Instruct | True | False | True | False | False
Harveenchadha/vakyansh-wav2vec2-tamil-tam-250 | True | False | True | False | False
prov-gigapath/prov-gigapath | False | False | False | False | False
Michau/t5-base-en-generate-headline | True | False | True | False | False
Hate-speech-CNERG/dehatebert-mono-english | True | False | True | False | False
spacy/en_core_web_sm | False | False | False | False | False
gtfintechlab/FOMC-RoBERTa | True | False | True | False | False
cledoux42/GenderNew_v002 | True | False | True | False | False
Salesforce/codet5p-220m | True | False | True | False | False
baichuan-inc/Baichuan2-7B-Chat | True | False | True | False | False
trl-internal-testing/tiny-random-FSMTForConditionalGeneration | False | False | False | False | True
abbasgolestani/ag-nli-DeTS-sentence-similarity-v1 | True | False | True | False | False
Helsinki-NLP/opus-mt-tl-en | True | False | True | False | False
neuraly/bert-base-italian-cased-sentiment | True | False | True | False | False
allenai/led-base-16384 | True | False | True | False | False
monologg/koelectra-base-v3-discriminator | True | False | True | False | False
baichuan-inc/Baichuan-7B | True | False | True | False | False
timm/coat_lite_mini.in1k | False | False | False | False | False
jonatasgrosman/wav2vec2-xls-r-1b-dutch | True | False | True | False | False
Lin-Chen/ShareGPT4V-7B | True | False | True | False | False
laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k | False | False | False | False | False
shi-labs/oneformer_coco_swin_large | True | False | True | False | False
microsoft/unixcoder-base-nine | True | False | True | False | False
KoboldAI/OPT-13B-Nerys-v2 | False | False | False | True | False
EmergentMethods/gliner_medium_news-v2.1 | False | False | False | False | False
lmsys/vicuna-13b-v1.5-16k | True | False | True | False | False
whaleloops/phrase-bert | True | False | True | False | False
Helsinki-NLP/opus-mt-fr-es | True | False | True | False | False
hf-tiny-model-private/tiny-random-BioGptForCausalLM | True | False | True | False | False
facebook/xmod-base | True | False | True | False | False
naufalihsan/indonesian-sbert-large | True | False | True | False | False
h2oai/h2ogpt-gm-oasst1-en-2048-falcon-7b-v2 | True | False | True | False | False
shi-labs/oneformer_cityscapes_swin_large | True | False | True | False | False
elyza/ELYZA-japanese-Llama-2-7b-fast-instruct | True | False | True | False | False
snunlp/KR-FinBert-SC | True | False | True | False | False
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese | True | False | True | False | False
peft-internal-testing/tiny_OPTForFeatureExtraction-lora | False | False | False | False | False
WizardLMTeam/WizardMath-7B-V1.1 | True | False | True | False | False
stablediffusionapi/mklan-xxx-nsfw-pony | True | True | False | False | False
Helsinki-NLP/opus-mt-eo-en | True | False | True | False | False
maidalun1020/bce-embedding-base_v1 | True | False | False | False | False
laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K | False | False | False | False | False
M-CLIP/XLM-Roberta-Large-Vit-B-16Plus | True | False | True | False | False
unicamp-dl/InRanker-base | True | False | True | False | False
microsoft/infoxlm-base | True | False | True | False | False
nvidia/segformer-b5-finetuned-ade-640-640 | True | False | True | False | False
Salesforce/codet5-base | True | False | True | False | False
KoboldAI/OPT-2.7B-Erebus | False | False | False | True | False
facebook/convnextv2-tiny-22k-384 | True | False | True | False | False
haoranxu/ALMA-13B-Pretrain | True | False | True | False | False
RUCAIBox/mvp | True | False | True | False | False
tohoku-nlp/bert-base-japanese-char-v2 | True | False | True | False | False
gorilla-llm/gorilla-openfunctions-v2 | True | False | False | False | False
julien-c/bert-xsmall-dummy | True | False | True | False | False
StanfordAIMI/RadBERT | True | False | True | False | False
